t [s],a [m/s^2],v [km/h],d [km],Pel [kW],FT [kN],E [kWh],I [A],R0 [N/kN],R0 [kN],Re [kN],R [kN]
0,0.2585231862982711,0.0,0.0,190.0,80.0,0.05277777777777778,6.333333333333333e-05,1.556471158507028,4.7249865,0.41538342433282216,5.140369924332822
1,0.24191020769806776,0.930683470673776,0.00012926159314913556,215.8523186298271,80.0,0.11273675517495196,71.95077287660902,1.5566412355023675,4.725502803500098,0.41538342433282216,5.14088622783292
2,0.24190562430918172,1.8015602183868198,0.0005087398832964405,240.04333939963388,80.0,0.17941546056373914,80.01444646654463,1.5571084514948272,4.72692113319088,0.41538342433282216,5.142304557523702
3,0.24189811926674837,2.672420465899874,0.00113012608944737,264.23390183055204,80.0,0.2528137666277814,88.07796727685067,1.5578734914982297,4.729243568571889,0.41538342433282216,5.144626992904711
4,0.24188769288041445,3.543253695260168,0.0019934141673862648,288.4237137572269,80.0,0.33293146489367775,96.14123791907562,1.5589363239481695,4.732470013822917,0.41538342433282216,5.147853438155739
5,0.2418743456009466,4.41404938962966,0.003098595151398741,312.61248304526833,80.0,0.41976826573958564,104.20416101508944,1.5602969028949427,4.736600329454242,0.41538342433282216,5.151983753787063
6,0.24185807802018908,5.284797033793069,0.0044456571546518985,336.799917605363,80.0,0.513323798407742,112.26663920178767,1.5619551680078387,4.741634332319653,0.41538342433282216,5.1570177566524755
7,0.24183889087100727,6.15548611466575,0.006034585369715623,360.9857254073819,80.0,0.6135976110209036,120.32857513579397,1.5639110445809112,4.7475717956339745,0.41538342433282216,5.162955219966796
8,0.2418167850272164,7.026106121801376,0.007865362069224946,385.16961449448263,80.0,0.7205891706027043,128.3898714981609,1.566164443540222,4.7544124489950494,0.41538342433282216,5.169795873327871
9,0.24179176150349638,7.896646547899355,0.00993796660668338,409.35129299720427,80.0,0.8342978631019278,136.4504309990681,1.5687152614525584,4.762155978410209,0.41538342433282216,5.177539402743031
10,0.2417638214552915,8.767096889311942,0.012252375417407172,433.53046914755396,80.0,0.9547229934206928,144.51015638251798,1.5715633805356253,4.770802026327211,0.41538342433282216,5.186185450660033
11,0.2417329661786962,9.637446646550991,0.014808562019610358,457.70685129308305,80.0,1.0818637854465492,152.56895043102767,1.5747086686697045,4.7803501916696325,0.41538342433282216,5.195733616002454
12,0.2416991971103262,10.507685324794297,0.017606497015630537,481.8801479109527,80.0,1.2157193820884804,160.62671597031755,1.5781509794107866,4.790800029876734,0.41538342433282216,5.2061834542095555
13,0.2416625158271753,11.377802434391473,0.02064614809329523,506.0500676219853,80.0,1.3562888453168096,168.6833558739951,1.5818901520051656,4.8021510529477665,0.41538342433282216,5.217534477280588
14,0.24162292404645808,12.247787491369303,0.023927480027428668,530.2163192047028,80.0,1.5035711562070049,176.73877306823428,1.5859260114054965,4.814402729490718,0.41538342433282216,5.22978615382354
15,0.24158042362543755,13.117630017936552,0.027450454681498926,554.3786116093486,80.0,1.6575652149873794,184.79287053644953,1.5902583682883216,4.827554484775517,0.41538342433282216,5.242937909108338
16,0.24153501656123944,13.987319542988129,0.03121503100940513,578.5366539718925,80.0,1.8182698410906828,192.84555132396417,1.5948870190730444,4.841605700791628,0.41538342433282216,5.25698912512445
17,0.2414867049906514,14.856845602608592,0.03522116505740468,602.6901556280163,80.0,1.9856837732095762,200.89671854267212,1.599811745942365,4.856555716310096,0.41538342433282216,5.2719391406429175
18,0.24143549118990854,15.726197740574937,0.039468809966180164,626.8388261270816,80.0,2.159805669355988,208.94627537569383,1.6050323168641656,4.8724038269499745,0.41538342433282216,5.287787251282796
19,0.2413813775744644,16.59536550885861,0.043957915973045936,650.9823752460725,80.0,2.3406341069243415,216.99412508202414,1.6105484856148413,4.88914928524916,0.41538342433282216,5.3045327095819825
